Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
codBA	codB // codA	[codBA 354,922 &rarr; 357,454]	2533	+
cof	cof	[TU0-12935 467,412 &rarr; 468,230]	819	+
copA	copA	[copA 508,875 &larr; 511,379]	2505	-
corA	corA	[corA 4,001,426 &rarr; 4,002,376]	951	+
cpdB	cpdB	[cpdB 4,434,622 &larr; 4,436,565]	1944	-
cpxPQ	cpxQ // cpxP	[cpxPQ 4,105,820 &rarr; 4,106,387]	568	+
cpxRA	cpxA // cpxR	[cpxRA 4,103,602 &larr; 4,105,670]	2069	-
cra	cra	[cra 88,028 &rarr; 89,032]	1005	+
crcB	crcB	[crcB 657,555 &larr; 657,938]	384	-
creABC	creA // creB // creC	[creABC 4,635,521 &rarr; 4,638,120]	2600	+
creABCD	creA // creB // creC // creD	[creABCD 4,635,521 &rarr; 4,639,530]	4010	+
creD	creD	[creD 4,638,178 &rarr; 4,639,530]	1353	+
crp	crp	[crp 3,486,120 &rarr; 3,486,752]	633	+
crp	crp	[crp 3,486,120 &rarr; 3,486,752]	633	+
crp	crp	[crp 3,486,120 &rarr; 3,486,752]	633	+
crr	crr	[crr 2,535,834 &rarr; 2,536,343]	510	+
crr	crr	[crr 2,535,834 &rarr; 2,536,343]	510	+
csdE // csdA	csdE // csdA	[TU0-13741 2,943,337 &rarr; 2,944,985]	1649	+
csgA	csgA	[csgA 1,104,447 &rarr; 1,104,902]	456	+
csgBAC	csgB // csgA // csgC	[csgBAC 1,103,951 &rarr; 1,105,293]	1343	+
csgC	csgC	[csgC 1,104,961 &rarr; 1,105,293]	333	+
csgDEFG	csgD // csgG // csgE // csgF	[csgDEFG 1,100,851 &larr; 1,103,196]	2346	-
csgDEFG	csgD // csgG // csgE // csgF	[csgDEFG 1,100,851 &larr; 1,103,196]	2346	-
csiD-ygaF-gabDTP	gabP // glaH // lhgD // gabD // gabT	[csiD-ygaF-gabDTP 2,788,985 &rarr; 2,795,653]	6669	+
csiE	csiE	[csiE 2,665,435 &rarr; 2,666,715]	1281	+
CsiR	glaR	[CsiR 2,795,674 &rarr; 2,796,336]	663	+
cspA	cspA	[cspA 3,720,049 &rarr; 3,720,261]	213	+
cspA	cspA	[cspA 3,720,049 &rarr; 3,720,261]	213	+
cspB	cspB	[cspB 1,641,339 &larr; 1,641,554]	216	-
cspD	cspD	[cspD 922,366 &larr; 922,590]	225	-
cspE	cspE	[cspE 657,292 &rarr; 657,501]	210	+
cspE	cspE	[cspE 657,292 &rarr; 657,501]	210	+
cspF	cspF	[cspF 1,641,855 &rarr; 1,642,067]	213	+
cspF	cspF	[TU0-41806 1,641,855 &rarr; 1,642,067]	213	+
cspG	cspG	[cspG 1,051,461 &rarr; 1,051,673]	213	+
cspH	cspH	[cspH 1,050,963 &larr; 1,051,175]	213	-
cspI	cspI	[cspI 1,638,455 &larr; 1,638,667]	213	-
cspI	cspI	[cspI 1,638,455 &larr; 1,638,667]	213	-
csrA	csrA	[csrA 2,818,961 &larr; 2,819,146]	186	-
csrA	csrA	[csrA 2,818,961 &larr; 2,819,146]	186	-
csrA	csrA	[csrA 2,818,961 &larr; 2,819,146]	186	-
csrAp3 // csrA	csrA	[TU0-13716 2,818,961 &larr; 2,819,146]	186	-
csrA	csrA	[csrA 2,818,961 &larr; 2,819,146]	186	-
csrB	csrB	[csrB 2,924,156 &larr; 2,924,524]	369	-
csrC	csrC	[csrC 4,051,036 &rarr; 4,051,280]	245	+
csrD	csrD	[TU0-13904 3,401,392 &larr; 3,403,332]	1941	-
cstA	cstA	[cstA 629,894 &rarr; 631,999]	2106	+
cstA	cstA	[cstA 629,894 &rarr; 631,999]	2106	+
cstA	cstA	[cstA 629,894 &rarr; 631,999]	2106	+
cueO	cueO	[cueO 137,083 &rarr; 138,633]	1551	+
cueR	cueR	[TU0-12955 513,993 &rarr; 514,400]	408	+
curA	curA	[TU0-13272 1,519,027 &rarr; 1,520,064]	1038	+
cusCFBA	cusF // cusC // cusA // cusB	[cusCFBA 595,600 &rarr; 601,857]	6258	+
cusRS	cusR // cusS	[cusRS 593,328 &larr; 595,443]	2116	-
cutA	cutA	[cutA 4,365,018 &larr; 4,365,356]	339	-
cvpA-purF-ubiX	cvpA // ubiX // purF	[cvpA-purF-ubiX 2,428,057 &larr; 2,430,763]	2707	-
cvpA-purF-ubiX	cvpA // ubiX // purF	[cvpA-purF-ubiX 2,428,057 &larr; 2,430,763]	2707	-
cvrA	cvrA	[TU0-13174 1,240,335 &larr; 1,242,071]	1737	-
cyaA	cyaA	[cyaA 3,991,153 &rarr; 3,993,699]	2547	+
cyaA	cyaA	[cyaA 3,991,153 &rarr; 3,993,699]	2547	+
cyaA	cyaA	[cyaA 3,991,153 &rarr; 3,993,699]	2547	+
cyaR	cyaR	[cyaR 2,167,114 &rarr; 2,167,200]	87	+
cyaY	cyaY	[TU0-14229 3,993,739 &larr; 3,994,059]	321	-
cybB	cybB	[TU0-13253 1,490,902 &rarr; 1,491,432]	531	+
cybC	cybC	[TU0-14168 4,459,488 &rarr; 4,459,855]	368	+
cycA	cycA	[cycA 4,429,864 &rarr; 4,431,276]	1413	+
cydAB	cydB // cydA	[cydAB 771,458 &rarr; 774,181]	2724	+
cydAB	cydB // cydA	[cydAB 771,458 &rarr; 774,181]	2724	+
cydAB	cydB // cydA	[cydAB 771,458 &rarr; 774,181]	2724	+
cydAB	cydB // cydA	[cydAB 771,458 &rarr; 774,181]	2724	+
cydAB	cydB // cydA	[cydAB 771,458 &rarr; 774,181]	2724	+
cydDC	cydC // cydD	[cydDC 927,474 &larr; 930,962]	3489	-
cynR	cynR	[cynR 357,791 &larr; 358,690]	900	-
cynTS	cynT // cynS	[cynTS 358,799 &rarr; 359,959]	1161	+
cynTSX	cynX // cynT // cynS	[cynTSX 358,799 &rarr; 361,146]	2348	+
cyoABCDE	cyoB // cyoE // cyoA // cyoD // cyoC	[cyoABCDE 446,815 &larr; 451,610]	4796	-
cysB	cysB	[cysB 1,333,855 &rarr; 1,334,829]	975	+
cysDNC	cysN // cysD // cysC	[cysDNC 2,873,387 &larr; 2,876,329]	2943	-
cysE	cysE	[cysE 3,781,741 &larr; 3,782,562]	822	-
cysG	cysG	[cysG 3,497,828 &rarr; 3,499,201]	1374	+
cysG	cysG	[cysG 3,497,828 &rarr; 3,499,201]	1374	+
cysH	cysH	[cysH 2,887,578 &larr; 2,888,312]	735	-
cysJIH	cysH // cysJ // cysI	[cysJIH 2,887,578 &larr; 2,891,898]	4321	-
cysK	cysK	[cysK 2,532,409 &rarr; 2,533,380]	972	+
cysK	cysK	[cysK 2,532,409 &rarr; 2,533,380]	972	+
cysPUWAM	cysA // cysW // cysU // cysP // cysM	[cysPUWAM 2,538,672 &larr; 2,543,528]	4857	-
cysQ	cysQ	[TU0-14162 4,436,755 &rarr; 4,437,495]	741	+
cysS	cysS	[cysS 554,611 &rarr; 555,996]	1386	+
cysZ	cysZ	[TU0-13622 2,531,463 &rarr; 2,532,224]	762	+
cytR	cytR	[cytR 4,123,431 &larr; 4,124,456]	1026	-
cyuP // cyuA	cyuP // cyuA	[TU0-13869 3,255,341 &larr; 3,258,010]	2670	-
dacA	dacA	[TU0-13008 662,752 &larr; 663,963]	1212	-
dacB	dacB	[dacB 3,328,963 &rarr; 3,330,396]	1434	+
dacC	dacC	[dacC 880,727 &rarr; 881,929]	1203	+
dacD terminator // dacD	dacD	[TU0-13488 2,081,381 &larr; 2,082,547]	1167	-
dadAX	dadX // dadA	[dadAX 1,237,571 &rarr; 1,239,949]	2379	+
dadAX	dadX // dadA	[dadAX 1,237,571 &rarr; 1,239,949]	2379	+
dadAX	dadX // dadA	[dadAX 1,237,571 &rarr; 1,239,949]	2379	+
dam-rpe-gph-trpS	dam // gph // trpS // rpe	[dam-rpe-gph-trpS 3,512,634 &larr; 3,515,913]	3280	-
dam-rpe-gph-trpS	dam // gph // trpS // rpe	[dam-rpe-gph-trpS 3,512,634 &larr; 3,515,913]	3280	-
damX-dam-rpe-gph-trpS	dam // gph // trpS // damX // rpe	[damX-dam-rpe-gph-trpS 3,512,634 &larr; 3,517,306]	4673	-
dapA-nlpB	bamC // dapA	[dapA-nlpB 2,597,831 &larr; 2,599,760]	1930	-
dapB	dapB	[dapB 28,374 &rarr; 29,195]	822	+
dapB	dapB	[dapB 28,374 &rarr; 29,195]	822	+
dapD	dapD	[dapD 185,123 &larr; 185,947]	825	-
dapE-ypfN	dapE // ypfN	[dapE-ypfN 2,591,607 &rarr; 2,592,962]	1356	+
dauA	dauA	[TU0-13179 1,259,124 &larr; 1,260,803]	1680	-
dcd	dcd	[dcd 2,141,634 &larr; 2,142,215]	582	-
dcm-vsr	dcm // vsr	[dcm-vsr 2,030,448 &larr; 2,032,317]	1870	-
dcp	dcp	[dcp 1,625,335 &larr; 1,627,380]	2046	-
dcrB	dcrB	[TU0-13945 3,609,955 &rarr; 3,610,512]	558	+
dctA	dctA	[dctA 3,682,161 &larr; 3,683,447]	1287	-
dcuA	dcuA	[dcuA 4,365,472 &larr; 4,366,773]	1302	-
dcuA	dcuA	[dcuA 4,365,472 &larr; 4,366,773]	1302	-
dcuB-fumB	dcuB // fumB	[dcuB-fumB 4,345,680 &larr; 4,348,744]	3065	-
dcuB-fumB	dcuB // fumB	[dcuB-fumB 4,345,680 &larr; 4,348,744]	3065	-
dcuC	dcuC	[dcuC 654,583 &larr; 655,968]	1386	-
dcuD	dcuD	[dcuD 3,374,869 &rarr; 3,376,236]	1368	+
dcuD	dcuD	[dcuD 3,374,869 &rarr; 3,376,236]	1368	+
dcuR	dcuR	[dcuR 4,349,315 &larr; 4,350,034]	720	-
dcuSR	dcuR // dcuS	[dcuSR 4,349,315 &larr; 4,351,662]	2348	-
dcyD-tcyLN	tcyN // tcyL // dcyD	[dcyD-tcyLN 1,997,062 &larr; 1,999,480]	2419	-
ddlA	ddlA	[ddlA 399,829 &larr; 400,923]	1095	-
ddpXABCDF	ddpX // ddpD // ddpF // ddpC // ddpB // ddpA	[ddpXABCDF 1,557,112 &larr; 1,563,076]	5965	-
ddpXABCDF	ddpX // ddpD // ddpF // ddpC // ddpB // ddpA	[ddpXABCDF 1,557,112 &larr; 1,563,076]	5965	-
ddpXABCDF	ddpX // ddpD // ddpF // ddpC // ddpB // ddpA	[ddpXABCDF 1,557,112 &larr; 1,563,076]	5965	-
deaD	deaD	[TU0-13880 3,305,971 &larr; 3,307,860]	1890	-
decR	decR	[decR 468,383 &rarr; 468,841]	459	+
def-fmt	fmt // def	[def-fmt 3,433,690 &rarr; 3,435,161]	1472	+
degP	degP	[degP 180,884 &rarr; 182,308]	1425	+
degQ	degQ	[degQ 3,380,743 &rarr; 3,382,110]	1368	+
degQS	degS // degQ	[degQS 3,380,743 &rarr; 3,383,267]	2525	+
degS	degS	[degS 3,382,200 &rarr; 3,383,267]	1068	+
deoA	deoB // deoD // deoA	[deoA 4,618,229 &rarr; 4,621,602]	3374	+
deoBD	deoB // deoD	[deoBD 4,619,603 &rarr; 4,621,602]	2000	+
deoCABD	deoC // deoB // deoD // deoA	[deoCABD 4,617,323 &rarr; 4,621,602]	4280	+
deoCABD	deoC // deoB // deoD // deoA	[deoCABD 4,617,323 &rarr; 4,621,602]	4280	+
deoR	deoR	[deoR 881,976 &larr; 882,734]	759	-
dfp	dfp	[dfp 3,812,731 &rarr; 3,813,951]	1221	+
dgcF	dgcF	[TU0-13302 1,610,907 &larr; 1,611,854]	948	-
dgcJ	dgcJ	[TU0-13402 1,872,041 &rarr; 1,873,531]	1491	+
dgcQ	dgcQ	[TU0-13460 2,026,323 &larr; 2,028,017]	1695	-
dgcZ	dgcZ	[dgcZ 1,622,960 &larr; 1,623,850]	891	-
dgkA	dgkA	[dgkA 4,256,637 &rarr; 4,257,005]	369	+
dgkA	dgkA	[dgkA 4,256,637 &rarr; 4,257,005]	369	+
dgoRKADT	dgoD // dgoR // dgoK // dgoA // dgoT	[dgoRKADT 3,870,438 &larr; 3,875,160]	4723	-
dgt	dgt	[dgt 179,237 &rarr; 180,754]	1518	+
dgt	dgt	[dgt 179,237 &rarr; 180,754]	1518	+
dhaKLM	dhaK // dhaM // dhaL	[dhaKLM 1,247,696 &larr; 1,250,838]	3143	-
dhaM	dhaM	[dhaM 1,247,696 &larr; 1,249,114]	1419	-
dhaR	dhaR	[dhaR 1,251,066 &rarr; 1,252,985]	1920	+
diaA	diaA	[diaA 3,295,809 &rarr; 3,296,399]	591	+
dicA	dicA	[TU0-13328 1,647,934 &rarr; 1,648,341]	408	+
dicB-ydfDE-insD-intQ	ydfD // dicB // intQ // insD7 // ydfE	[dicB-ydfDE-insD-intQ 1,649,609 &rarr; 1,652,708]	3100	+
dicC-ydfXW	ydfX // dicC // ydfW	[dicC-ydfXW 1,647,174 &larr; 1,647,850]	677	-
dicF	dicF	[TU0-13330 1,649,382 &rarr; 1,649,434]	53	+
dinB-yafNOP	dinB // yafO // yafN // yafP	[dinB-yafNOP 250,898 &rarr; 253,161]	2264	+
dinD	dinD	[dinD 3,817,760 &rarr; 3,818,584]	825	+
dinG-ybiB	dinG // ybiB	[dinG-ybiB 833,070 &rarr; 836,210]	3141	+
dinI	dinI	[dinI 1,121,242 &larr; 1,121,487]	246	-
dinJ-yafQ	dinJ // yafQ	[dinJ-yafQ 245,961 &larr; 246,502]	542	-
dinQ	dinQ	[dinQ 3,647,705 &larr; 3,647,788]	84	-
djlA	djlA	[TU0-12801 57,364 &rarr; 58,179]	816	+
dkgAp // dkgA	dkgA	[TU0-13824 3,156,623 &rarr; 3,157,450]	828	+
dkgB	dkgB	[dkgB 229,167 &rarr; 229,970]	804	+
dksA-gluQ	gluQ // dksA	[dksA-gluQ 159,186 &larr; 160,604]	1419	-
dksA-yadB	gluQ // dksA	[dksA-yadB 159,186 &larr; 160,604]	1419	-
dksA-yadB	gluQ // dksA	[dksA-yadB 159,186 &larr; 160,604]	1419	-
dld	dld	[dld 2,222,185 &rarr; 2,223,900]	1716	+
dmlA	dmlA	[TU0-13410 1,881,912 &rarr; 1,882,997]	1086	+
dmlR	dmlR	[TU0-13409 1,880,886 &larr; 1,881,809]	924	-
dmsABC	dmsA // dmsC // dmsB	[dmsABC 940,959 &rarr; 944,896]	3938	+
dmsABC	dmsA // dmsC // dmsB	[dmsABC 940,959 &rarr; 944,896]	3938	+
dmsC	dmsC	[dmsC 944,033 &rarr; 944,896]	864	+
dnaAN-recF	dnaN // dnaA // recF	[dnaAN-recF 3,880,148 &larr; 3,883,729]	3582	-
dnaAN-recF	dnaN // dnaA // recF	[dnaAN-recF 3,880,148 &larr; 3,883,729]	3582	-
dnaB	dnaB	[dnaB 4,264,314 &rarr; 4,265,729]	1416	+
dnaKJ	dnaK // dnaJ // tpke11	[dnaKJ 12,163 &rarr; 15,298]	3136	+
dnaKJ	dnaK // dnaJ // tpke11	[dnaKJ 12,163 &rarr; 15,298]	3136	+
dnaKJ	dnaK // dnaJ // tpke11	[dnaKJ 12,163 &rarr; 15,298]	3136	+
dnaN-recF	dnaN // recF	[dnaN-recF 3,880,148 &larr; 3,882,321]	2174	-
dnaN-recF	dnaN // recF	[dnaN-recF 3,880,148 &larr; 3,882,321]	2174	-
dnaN-recF	dnaN // recF	[dnaN-recF 3,880,148 &larr; 3,882,321]	2174	-
dnaN-recF	dnaN // recF	[dnaN-recF 3,880,148 &larr; 3,882,321]	2174	-
dnaQ	dnaQ	[dnaQ 236,067 &rarr; 236,798]	732	+
dnaQ	dnaQ	[dnaQ 236,067 &rarr; 236,798]	732	+
dnaQ	dnaQ	[TU0-12843 236,067 &rarr; 236,798]	732	+
dnaTC	dnaC // dnaT	[dnaTC 4,600,238 &larr; 4,601,517]	1280	-
dnaTC-yjjA	dnaC // dnaT // yjjA	[dnaTC-yjjA 4,599,695 &larr; 4,601,517]	1823	-
dnaX	dnaX	[dnaX 492,092 &rarr; 494,023]	1932	+
dosCP	dosC // dosP	[dosCP 1,563,334 &larr; 1,567,140]	3807	-
dpiBA	dpiA // dpiB	[dpiBA 652,235 &rarr; 654,542]	2308	+
dpiBA	dpiA // dpiB	[dpiBA 652,235 &rarr; 654,542]	2308	+
dppABCDF	dppD // dppA // dppF // dppB // dppC	[dppABCDF 3,701,864 &larr; 3,707,705]	5842	-
dps	dps	[dps 848,408 &larr; 848,911]	504	-
dsbA	dsbA	[dsbA 4,043,418 &rarr; 4,044,044]	627	+
dsbB	dsbB	[TU0-13172 1,232,500 &larr; 1,233,030]	531	-
dsbC	dsbC	[dsbC 3,038,112 &larr; 3,038,822]	711	-
dsbC-recJ-prfB	prfB // dsbC // recJ	[dsbC-recJ-prfB 3,035,184 &larr; 3,038,822]	3639	-
dsbD // yjdC	yjdC // dsbD	[TU0-14140 4,362,733 &larr; 4,365,042]	2310	-
dsbGp // dsbG	dsbG	[TU0-12995 637,827 &larr; 638,573]	747	-
dsdA	dsdA	[dsdA 2,479,202 &rarr; 2,480,530]	1329	+
dsdC	dsdC	[dsdC 2,476,694 &larr; 2,477,629]	936	-
dsdXA	dsdA // dsdX	[dsdXA 2,477,847 &rarr; 2,480,530]	2684	+
dsrA	dsrA	[dsrA 2,025,227 &larr; 2,025,313]	87	-
dsrB	dsrB	[dsrB 2,024,635 &larr; 2,024,823]	189	-
dtpB	dtpB	[TU0-13956 3,640,862 &rarr; 3,642,331]	1470	+
dtpC	dtpC	[TU0-14139 4,354,954 &larr; 4,356,411]	1458	-
dtpD	dtpD	[dtpD 741,075 &larr; 742,556]	1482	-
dusA	dusA	[TU0-14118 4,261,669 &rarr; 4,262,706]	1038	+
dusB-fis	fis // dusB	[dusB-fis 3,410,280 &rarr; 3,411,567]	1288	+
dusC	dusC	[dusC 2,229,438 &larr; 2,230,385]	948	-
dut-slmA	dut // slmA	[dut-slmA 3,813,929 &rarr; 3,815,090]	1162	+
dxr-uppS-cdsA	dxr // cdsA // uppS	[dxr-uppS-cdsA 193,521 &rarr; 196,534]	3014	+
insF1 // insE1 // insEF1 // eaeH	insEF1 // insF1 // insE1 // eaeH	[TU0-12882 314,357 &rarr; 316,453]	2097	+
eamA	eamA	[eamA 1,620,238 &larr; 1,621,137]	900	-
ebgAC	ebgC // ebgA	[ebgAC 3,222,633 &rarr; 3,226,171]	3539	+
ebgR	ebgR	[ebgR 3,221,466 &rarr; 3,222,449]	984	+
ecnB // ecnA	ecnB // ecnA	[TU0-14145 4,376,317 &rarr; 4,376,699]	383	+
ecnB	ecnB	[ecnB 4,376,553 &rarr; 4,376,699]	147	+
eco	eco	[eco 2,303,905 &rarr; 2,304,393]	489	+
ecpA	ecpA	[ecpA 310,084 &larr; 310,671]	588	-
ecpBCDE	ecpC // ecpD // ecpB // ecpE	[ecpBCDE 304,495 &larr; 310,026]	5532	-
ecpBCDE	ecpC // ecpD // ecpB // ecpE	[ecpBCDE 304,495 &larr; 310,026]	5532	-
ecpR	ecpR	[ecpR 310,746 &larr; 311,336]	591	-
eda	eda	[eda 1,932,115 &larr; 1,932,756]	642	-
eda	eda	[eda 1,932,115 &larr; 1,932,756]	642	-
eda	eda	[eda 1,932,115 &larr; 1,932,756]	642	-
edd-eda	eda // edd	[edd-eda 1,932,115 &larr; 1,934,604]	2490	-
efeB // efeO	efeO // efeB	[TU0-13116 1,082,243 &rarr; 1,084,647]	2405	+
efeU	efeU	[efeU 1,081,356 &rarr; 1,082,185]	830	+
efp	efp	[efp 4,375,699 &rarr; 4,376,265]	567	+
elaA	elaA	[TU0-13572 2,381,082 &larr; 2,381,543]	462	-
elaB	elaB	[elaB 2,380,722 &larr; 2,381,027]	306	-
elaD	elaD	[TU0-13574 2,382,713 &rarr; 2,383,924]	1212	+
elbB // mtgA	elbB // mtgA	[TU0-13890 3,349,081 &larr; 3,350,459]	1379	-
elfA	elfA	[TU0-13094 997,868 &rarr; 998,407]	540	+
ycbF // ycbV // ycbU // elfG // elfC // elfD	elfC // ycbV // ycbU // elfG // ycbF // elfD	[TU0-13095 998,490 &rarr; 1,004,657]	6168	+
emrD	emrD	[emrD 3,853,922 &rarr; 3,855,106]	1185	+
emrE	emrE	[emrE 568,315 &rarr; 568,647]	333	+
emrKY	emrY // emrK	[emrKY 2,480,638 &larr; 2,483,339]	2702	-
emrRAB	mprA // emrA // emrB	[emrRAB 2,810,770 &rarr; 2,814,154]	3385	+
emtA	emtA	[emtA 1,243,180 &rarr; 1,243,791]	612	+
endA	endA	[endA 3,090,347 &rarr; 3,091,054]	708	+
endA	endA	[endA 3,090,347 &rarr; 3,091,054]	708	+
eno	eno	[eno 2,906,643 &larr; 2,907,941]	1299	-
eno	eno	[eno 2,906,643 &larr; 2,907,941]	1299	-
eno	eno	[eno 2,906,643 &larr; 2,907,941]	1299	-
eno	eno	[eno 2,906,643 &larr; 2,907,941]	1299	-
eno	eno	[eno 2,906,643 &larr; 2,907,941]	1299	-
eno	eno	[eno 2,906,643 &larr; 2,907,941]	1299	-
entCEBA-ybdB	entC // entB // entE // entA // entH	[entCEBA-ybdB 624,885 &rarr; 629,713]	4829	+
entH	entH	[entH 629,300 &rarr; 629,713]	414	+
entS	entS	[entS 622,300 &rarr; 623,550]	1251	+
entS	entS	[entS 622,300 &rarr; 623,550]	1251	+
envR	envR	[envR 3,412,803 &larr; 3,413,465]	663	-
envY-ompT	envY // ompT	[envY-ompT 584,680 &larr; 586,908]	2229	-
epd-pgk	pgk // epd	[epd-pgk 3,071,459 &larr; 3,073,691]	2233	-
epd-pgk-fbaA	pgk // epd // fbaA	[epd-pgk-fbaA 3,070,165 &larr; 3,073,691]	3527	-
epmA	epmA	[epmA 4,382,643 &rarr; 4,383,620]	978	+
epmB	epmB	[TU0-14143 4,374,629 &larr; 4,375,657]	1029	-
eptA	eptA	[eptA 4,333,947 &larr; 4,335,590]	1644	-
eptB	eptB	[eptB 3,708,784 &larr; 3,710,475]	1692	-
eptC	eptC	[TU0-14094 4,148,532 &larr; 4,150,265]	1734	-
erpA	erpA	[erpA 176,610 &rarr; 176,954]	345	+
esrE	esrE	[esrE 4,019,978 &rarr; 4,020,229]	252	+
essD-ybcS-rzpD	rrrD // essD // rzpD	[essD-ybcS-rzpD 577,398 &rarr; 578,568]	1171	+
essQ // ydfR // rrrQ // rzpQ	rrrQ // rzpQ // essQ // ydfR	[TU0-13321 1,639,030 &larr; 1,640,585]	1556	-
eutB // eutC // eutL // eutK // eutR	eutB // eutR // eutL // eutC // eutK	[TU0-13627 2,554,130 &larr; 2,558,679]	4550	-
eutH // eutA	eutA // eutH	[TU0-13634 2,565,481 &larr; 2,568,107]	2627	-
eutN // eutE // eutJ // eutG	eutN // eutE // eutJ // eutG	[TU0-13635 2,568,324 &larr; 2,572,050]	3727	-
eutS // eutP // eutQ // eutT // eutD // eutM	eutM // eutS // eutP // eutQ // eutT // eutD	[TU0-13636 2,572,157 &larr; 2,575,805]	3649	-
evgAS	evgA // evgS	[evgAS 2,483,755 &rarr; 2,487,967]	4213	+
evgAS	evgA // evgS	[evgAS 2,483,755 &rarr; 2,487,967]	4213	+
exbBD	exbB // exbD	[exbBD 3,150,818 &larr; 3,151,984]	1167	-
exbD	exbD	[exbD 3,150,818 &larr; 3,151,243]	426	-
exoD	exoD	[TU0-12969 566,098 &larr; 566,361]	264	-
exuR	exuR	[exuR 3,246,652 &rarr; 3,247,428]	777	+
exuT	exuT	[exuT 3,245,224 &rarr; 3,246,522]	1299	+
exuT	exuT	[exuT 3,245,224 &rarr; 3,246,522]	1299	+
fabA	fabA	[fabA 1,015,952 &larr; 1,016,470]	519	-
fabB	fabB	[fabB 2,440,385 &larr; 2,441,605]	1221	-
fabDG-acpP	fabD // fabG // acpP	[fabDG-acpP 1,149,728 &rarr; 1,151,851]	2124	+
fabF	fabF	[fabF 1,151,939 &rarr; 1,153,180]	1242	+
fabG-acpP	fabG // acpP	[fabG-acpP 1,150,670 &rarr; 1,151,851]	1182	+
fabHDG	fabD // fabH // fabG	[fabHDG 1,148,759 &rarr; 1,151,404]	2646	+
fabI	fabI	[fabI 1,350,251 &larr; 1,351,039]	789	-
fabI	fabI	[fabI 1,350,251 &larr; 1,351,039]	789	-
yijD // fabR	fabR // yijD	[TU0-14097 4,161,067 &rarr; 4,162,130]	1064	+
fabZ	fabZ	[fabZ 202,101 &rarr; 202,556]	456	+
fadBA	fadB // fadA	[fadBA 4,027,609 &larr; 4,030,971]	3363	-
fadD-sroD	fadD // sroD	[fadD-sroD 1,888,017 &larr; 1,889,746]	1730	-
fadE	fadE	[fadE 240,859 &larr; 243,303]	2445	-
fadH	fadH	[fadH 3,231,665 &rarr; 3,233,683]	2019	+
fadIJ	fadJ // fadI	[fadIJ 2,457,015 &larr; 2,460,469]	3455	-
fadL	fadL	[fadL 2,461,306 &rarr; 2,462,646]	1341	+
fadM	fadM	[fadM 464,402 &rarr; 464,800]	399	+
fadR	fadR	[fadR 1,234,938 &rarr; 1,235,657]	720	+
fadR	fadR	[fadR 1,234,938 &rarr; 1,235,657]	720	+
fbaB	fbaB	[fbaB 2,177,512 &larr; 2,178,564]	1053	-
fbp	fbp	[fbp 4,454,611 &larr; 4,455,609]	999	-
fdhD	fdhD	[TU0-14073 4,086,016 &rarr; 4,086,849]	834	+
fdhF	fdhF	[fdhF 4,297,219 &larr; 4,299,366]	2148	-
fdnGHI	fdnH // fdnG // fdnI	[fdnGHI 1,547,401 &rarr; 1,551,991]	4591	+
fdoGHI-fdhE	fdoH // fdhE // fdoI // fdoG	[fdoGHI-fdhE 4,080,299 &larr; 4,085,822]	5524	-
ybcF // ylbF // ylbE // fdrA	ylbF // fdrA // ybcF // ylbE	[TU0-12962 546,680 &rarr; 551,332]	4653	+
feaB	feaB	[feaB 1,447,519 &rarr; 1,449,018]	1500	+
feaB	feaB	[feaB 1,447,519 &rarr; 1,449,018]	1500	+
feaR	feaR	[feaR 1,446,378 &larr; 1,447,283]	906	-
feaR	feaR	[feaR 1,446,378 &larr; 1,447,283]	906	-
feaR	feaR	[feaR 1,446,378 &larr; 1,447,283]	906	-
feaR	feaR	[feaR 1,446,378 &larr; 1,447,283]	906	-
fecABCDE	fecA // fecE // fecD // fecC // fecB	[fecABCDE 4,510,690 &larr; 4,516,677]	5988	-
fecIR	fecI // fecR	[fecIR 4,516,764 &larr; 4,518,235]	1472	-
feoABC	feoC // feoB // feoA	[feoABC 3,540,163 &rarr; 3,542,964]	2802	+
fepA-entD	fepA // entD	[fepA-entD 609,459 &larr; 612,494]	3036	-
fepB	fepB	[fepB 623,554 &larr; 624,510]	957	-
fepDGC	fepC // fepD // fepG	[fepDGC 619,384 &larr; 622,189]	2806	-
fepDGC	fepC // fepD // fepG	[fepDGC 619,384 &larr; 622,189]	2806	-
fes-ybdZ-entF-fepE	fepE // ybdZ // entF // fes	[fes-ybdZ-entF-fepE 612,737 &rarr; 619,387]	6651	+
fetAB	fetA // fetB	[fetAB 515,919 &rarr; 517,362]	1444	+
ffh	ffh	[ffh 2,746,434 &larr; 2,747,795]	1362	-
ffs	ffs	[TU0-12938 476,448 &rarr; 476,561]	114	+
fhuACDB	fhuA // fhuC // fhuB // fhuD	[fhuACDB 167,484 &rarr; 173,444]	5961	+
fhuE	fhuE	[fhuE 1,159,362 &larr; 1,161,551]	2190	-
fhuF	fhuF	[fhuF 4,604,875 &larr; 4,605,663]	789	-
fhuF	fhuF	[fhuF 4,604,875 &larr; 4,605,663]	789	-
fieF	fieF	[TU0-14078 4,106,469 &rarr; 4,107,371]	903	+
fimAICDFGH	fimI // fimA // fimD // fimG // fimF // fimC // fimH	[fimAICDFGH 4,543,115 &rarr; 4,549,710]	6596	+
fimB	fimB	[fimB 4,540,957 &rarr; 4,541,559]	603	+
