Gene_Names	Direction	Sequence - coordinates of DNA region
lsrK // lsrR	-	[lsrRK 1,598,617 &larr; 1,601,241]
pdeF	-	[yfgF 2,626,695 &larr; 2,628,938]
alpA	+	[TU0-13689 2,758,644 &rarr; 2,758,856]
chpS // chpB	+	[chpSB 4,448,447 &rarr; 4,449,042]
fieF	+	[TU0-14078 4,106,469 &rarr; 4,107,371]
phoQ // phoP	-	[phoPQ 1,188,316 &larr; 1,190,447]
tdcG // tdcF // tdcE // tdcD // tdcC // tdcB	-	[tdcBCDEFG 3,258,285 &larr; 3,266,028]
yffP // yffO	+	[yffO-yffP 2,562,111 &rarr; 2,563,117]
ykgH	-	[TU0-12888 324,696 &larr; 325,364]
galU	+	[galU 1,291,457 &rarr; 1,292,365]
yddL // yddK // yddJ	-	[TU0-13283 1,544,384 &larr; 1,546,028]
dgcE	+	[yegE 2,143,266 &rarr; 2,146,583]
yfhL	+	[yfhL 2,699,663 &rarr; 2,699,923]
acrE // acrF	+	[acrEF 3,413,864 &rarr; 3,418,137]
yihM // yihL	+	[TU0-14062 4,060,447 &rarr; 4,062,145]
ihfB // rpsA	+	[rpsA-ihfB 961,995 &rarr; 964,112]
caiE // caiD // caiC	-	[caiCDE 34,781 &larr; 37,824]
yggN	-	[yggN 3,100,904 &larr; 3,101,623]
yagM // yagL	-	[TU0-12872 293,220 &larr; 294,799]
waaA	+	[waaA 3,808,540 &rarr; 3,809,817]
hicB // hicA	+	[hicAB 1,509,286 &rarr; 1,509,924]
ydeE	+	[ydeE 1,621,332 &rarr; 1,622,519]
yfhM // pbpC	-	[yfhM-pbpC 2,645,013 &larr; 2,652,287]
metF	+	[metF 4,132,616 &rarr; 4,133,506]
yigI	-	[yigI 4,004,230 &larr; 4,004,697]
feaR	-	[feaR 1,446,378 &larr; 1,447,283]
rrfG	-	[rrfG 2,726,069 &larr; 2,726,188]
gadC	-	[TU0-41791 1,568,954 &larr; 1,570,489]
cspI	-	[cspI 1,638,455 &larr; 1,638,667]
ynbD // ynbC // ynbB // ynbA	+	[ynbABCD 1,477,621 &rarr; 1,482,201]
pliG	-	[pliG 1,227,071 &larr; 1,227,472]
eutN // eutE // eutJ // eutG	-	[TU0-13635 2,568,324 &larr; 2,572,050]
phnP // phnO // phnN // phnM // phnL // phnK // phnJ // phnI // phnH // phnG // phnF // phnE // phnD // phnC	-	[phnCDEEFGHIJKLMNOP 4,314,344 &larr; 4,325,165]
bglH // yieL // yieK	-	[TU0-14028 3,898,671 &larr; 3,902,220]
hypF // hydN	-	[hydN-hypF 2,835,173 &larr; 2,838,105]
rapA	-	[hepA 60,358 &larr; 63,264]
opgH // opgG	+	[mdoGH 1,109,335 &rarr; 1,113,406]
yafE // yafD	+	[yafDE 231,122 &rarr; 232,549]
uvrC // uvrY	-	[uvrYC 1,992,874 &larr; 1,995,359]
ydaY // ynaK	+	[TU0-13234 1,425,377 &rarr; 1,425,980]
rcdA	+	[ybjK 887,423 &rarr; 887,959]
insL3	+	[TU0-13617 2,514,331 &rarr; 2,515,443]
lysA	-	[lysA 2,977,637 &larr; 2,978,899]
adeQ	-	[TU0-14012 3,842,455 &larr; 3,843,789]
putA	-	[putA 1,074,920 &larr; 1,078,882]
ispH // fkpB // lspA // ileS	+	[ileS-lspA-fkpB-ispH 22,391 &rarr; 27,227]
cbpM // cbpA	-	[cbpAM 1,062,550 &larr; 1,063,775]
clcA	+	[TU0-12821 175,107 &rarr; 176,528]
atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB	-	[atpBEFHAGDC 3,915,553 &larr; 3,922,051]
pgrR	+	[TU0-13217 1,391,991 &rarr; 1,392,890]
yqeK	-	[yqeK 2,989,935 &larr; 2,990,360]
yfdI // yfdH // yfdG	+	[TU0-13601 2,467,855 &rarr; 2,470,462]
gatD // gatC // gatB // gatA // gatZ // gatY	-	[gatYZABCD 2,171,833 &larr; 2,177,204]
yibN	-	[TU0-13997 3,784,584 &larr; 3,785,015]
eda	-	[eda 1,932,115 &larr; 1,932,756]
dcuR	-	[dcuR 4,349,315 &larr; 4,350,034]
phoU	-	[phoU 3,906,853 &larr; 3,907,578]
sgrT // setA // sgrS	+	[sgrST-setA 77,367 &rarr; 78,799]
proS	-	[proS 217,057 &larr; 218,775]
yciX // ymiA	+	[ymiA-yciX 1,335,148 &rarr; 1,335,458]
ynaI	-	[ynaI 1,394,891 &larr; 1,395,922]
yfcC	+	[TU0-13584 2,417,081 &rarr; 2,418,601]
hycI // hycH // hycG // hycF // hycE // hycD // hycC // hycB // hycA	-	[hycABCDEFGHI 2,842,573 &larr; 2,850,435]
ysaB	-	[TU0-13981 3,725,413 &larr; 3,725,712]
fixX // fixC // fixB // fixA	+	[fixABCX 42,403 &rarr; 45,750]
hypF	-	[hypF 2,835,173 &larr; 2,837,425]
yeaH // yeaG	+	[yeaGH 1,866,908 &rarr; 1,870,238]
yaaA	-	[TU0-12788 5,683 &larr; 6,459]
lacI	-	[lacI 366,428 &larr; 367,510]
ycgY	+	[TU0-13177 1,245,160 &rarr; 1,245,600]
yjgM	-	[yjgM 4,479,034 &larr; 4,479,537]
yfaZ	-	[TU0-13568 2,363,733 &larr; 2,364,275]
flhC // flhD	-	[flhDC 1,977,266 &larr; 1,978,197]
yhiD	-	[TU0-13962 3,655,255 &larr; 3,655,902]
proK	-	[proK 3,708,616 &larr; 3,708,692]
mreD // mreC // mreB	-	[mreBCD 3,398,387 &larr; 3,401,087]
ygaC	-	[ygaC 2,799,650 &larr; 2,799,994]
rrfH // rrlH // alaV // ileV // rrsH	+	[rrsH-ileV-alaV-rrlH-rrfH 223,771 &rarr; 228,875]
alaS	-	[alaS 2,819,381 &larr; 2,822,011]
ariR // ymgA	+	[TU0-13161 1,216,068 &rarr; 1,216,635]
adeP	-	[yieG 3,895,272 &larr; 3,896,609]
yejF // yejE // yejB // yejA	+	[TU0-13552 2,272,364 &rarr; 2,277,889]
cpdB	-	[cpdB 4,434,622 &larr; 4,436,565]
dcrB	+	[TU0-13945 3,609,955 &rarr; 3,610,512]
argX // hisR // leuT // proM	+	[argX-hisR-leuT-proM 3,982,375 &rarr; 3,982,811]
ybcH	-	[ybcH 587,091 &larr; 587,981]
ybaT // glsA	+	[glsA-ybaT 511,641 &rarr; 513,868]
fkpA	-	[fkpA 3,476,607 &larr; 3,477,419]
murI // btuB	+	[btuB-murI 4,163,639 &rarr; 4,166,285]
roxA	-	[TU0-13144 1,187,119 &larr; 1,188,240]
yhhS	-	[yhhS 3,610,516 &larr; 3,611,733]
fumA	-	[fumA 1,686,731 &larr; 1,688,377]
hofM // hofN // hofO // hofP	-	[hofMNOP 3,520,615 &larr; 3,522,751]
rpoN // hpf // ptsN // rapZ // npr	+	[rpoN-hpf-ptsN-yhbJ-npr 3,344,717 &rarr; 3,348,238]
eptA	-	[eptA 4,333,947 &larr; 4,335,590]
sufE // sufS // sufD // sufC // sufB // sufA	-	[sufABCDSE 1,758,874 &larr; 1,764,386]
yicI // yicJ	-	[yicJI 3,832,219 &larr; 3,835,929]
menE // menC // menB	-	[menBCE 2,373,648 &larr; 2,376,819]
solA // yceO	-	[solA-yceO 1,119,307 &larr; 1,120,586]
ybiA	-	[ybiA 832,468 &larr; 832,950]
yehE	-	[TU0-13517 2,192,515 &larr; 2,192,796]
tyrB	+	[tyrB 4,267,114 &rarr; 4,268,307]
trkA	+	[trkA 3,436,518 &rarr; 3,437,894]
tcyJ // fliZ // fliA	-	[fliAZY 1,999,585 &larr; 2,001,789]
rnlB // rnlA	+	[rnlAB 2,765,918 &rarr; 2,767,355]
lacI // mhpR	-	[mhpR-lacI 366,428 &larr; 368,420]
flhE // flhA // flhB	-	[flhBAE 1,962,580 &larr; 1,966,191]
mutM // rpmG // rpmB	-	[rpmBG-mutM 3,810,343 &larr; 3,811,674]
yccM	-	[TU0-13111 1,052,289 &larr; 1,053,362]
yaiY	-	[yaiY 399,025 &larr; 399,333]
asmA	-	[TU0-13500 2,139,759 &larr; 2,141,612]
uvrD	+	[uvrD 3,997,983 &rarr; 4,000,145]
yhcE // yhcD // yhcA	+	
endA	+	[endA 3,090,347 &rarr; 3,091,054]
yhfK	+	[yhfK 3,486,791 &rarr; 3,488,893]
glcA // glcB // glcG // glcF // glcE // glcD	-	[glcDEFGBA 3,119,597 &larr; 3,128,021]
yfeS // yfeK	+	[yfeKS 2,537,342 &rarr; 2,538,483]
dedA // truA // usg	-	[usg-truA-dedA 2,434,082 &larr; 2,436,649]
ycbF // ycbV // ycbU // elfG // elfC // elfD	+	[TU0-13095 998,490 &rarr; 1,004,657]
uspC	+	[uspC 1,979,753 &rarr; 1,980,181]
yeeW // cbtA // cbeA // yeeT // yeeS // yeeR	+	[TU0-13483 2,074,779 &rarr; 2,078,134]
purC	-	[purC 2,596,905 &larr; 2,597,618]
yraR	-	[yraR 3,298,211 &larr; 3,298,846]
rpoD	+	[rpoD 3,213,047 &rarr; 3,214,888]
lptB // lptA // lptC // kdsC	+	[kdsC-lptCAB 3,342,273 &rarr; 3,344,669]
ribA	-	[ribA 1,338,570 &larr; 1,339,160]
gntP	-	[gntP 4,549,953 &larr; 4,551,296]
trxB	-	[trxB 931,085 &larr; 932,050]
arcZ	+	[arcZ 3,350,577 &rarr; 3,350,697]
malQ // malP	-	[malPQ 3,547,986 &larr; 3,552,473]
alx	+	[alx 3,238,580 &rarr; 3,239,545]
clpP // clpX	+	[clpPX 456,677 &rarr; 458,700]
norR	-	[norR 2,830,775 &larr; 2,832,289]
flxA	+	[flxA 1,646,405 &rarr; 1,646,737]
crr	+	[crr 2,535,834 &rarr; 2,536,343]
ybiY // ybiW	-	[TU0-13062 860,174 &larr; 863,511]
rhlE	+	[rhlE 830,872 &rarr; 832,236]
isrB	-	[TU0-13448 1,987,839 &larr; 1,987,998]
frdD // frdC // frdB // frdA	-	[frdABCD 4,379,007 &larr; 4,382,318]
ygiL	+	[TU0-13842 3,185,414 &rarr; 3,185,965]
htpG	+	[htpG 495,120 &rarr; 496,994]
ftsZ	+	[ftsZ 105,305 &rarr; 106,456]
rdcB // rdcA	+	[rdcAB 4,327,135 &rarr; 4,330,238]
recX // recA	-	[recAX 2,822,139 &larr; 2,823,769]
ybhC	-	[ybhC 805,998 &larr; 807,281]
napC // napB // napH // napG // napA // napD // napF	-	[napFDAGHBC 2,297,657 &larr; 2,303,497]
yobA // yebZ // yebY	-	[TU0-13432 1,923,365 &larr; 1,924,969]
argR	+	[argR 3,384,703 &rarr; 3,385,173]
yqhG	+	[yqhG 3,157,650 &rarr; 3,158,576]
bolA	+	[bolA 454,472 &rarr; 454,789]
serB	+	[TU0-14224 4,624,895 &rarr; 4,625,863]
glmY	-	[glmY 2,691,157 &larr; 2,691,340]
kch	-	[kch 1,309,016 &larr; 1,310,269]
nth // rsxE // rsxG // rsxD // rsxC // rsxB // rsxA // ydgK	+	[ydgK-rsxABCDGE-nth 1,705,250 &rarr; 1,712,158]
ybgQ // ybgP // ybgO	-	[TU0-13032 747,921 &larr; 752,169]
yoaC	+	[yoaC 1,894,133 &rarr; 1,894,432]
ybfL	+	[TU0-13029 736,900 &rarr; 737,961]
tsaB // yeaY	-	[tsaB-yeaY 1,889,951 &larr; 1,891,267]
dnaC // dnaT // yjjB	-	[yjjB-dnaTC 4,600,238 &larr; 4,602,097]
gshB // rsmE	+	[TU0-13805 3,091,134 &rarr; 3,092,828]
infC // thrS	-	[thrS-infC 1,800,096 &larr; 1,802,570]
rpnD	+	[TU0-14204 4,568,998 &rarr; 4,569,918]
pepA	-	[pepA 4,484,440 &larr; 4,485,951]
exuR	+	[exuR 3,246,652 &rarr; 3,247,428]
bssS	-	[bssS 1,120,701 &larr; 1,120,955]
djlB // ybeR	+	[TU0-13011 676,711 &rarr; 678,842]
msrB	-	[TU0-13396 1,862,016 &larr; 1,862,429]
kptA	+	[kptA 4,560,930 &rarr; 4,561,484]
rplQ // rpoA // rpsD // rpsK // rpsM	-	[rpsMKD-rpoA-rplQ 3,439,616 &larr; 3,442,471]
yqfA	-	[TU0-13789 3,042,489 &larr; 3,043,148]
insM // insI3	-	[TU0-14186 4,507,466 &larr; 4,508,942]
ygiC // ygiB // tolC	+	[tolC-ygiBC 3,178,115 &rarr; 3,181,581]
galK // galT // galE	-	[galETK 788,831 &larr; 792,055]
ldtB	-	[ldtB 854,824 &larr; 855,744]
dsbG	-	[TU0-12995 637,827 &larr; 638,573]
arpB	+	[TU0-13379 1,803,094 &rarr; 1,804,993]
opgC	-	[mdoC 1,107,784 &larr; 1,108,941]
rfbX // rfbC // rfbA // rfbD // rfbB	-	[rfbBDACX 2,108,337 &larr; 2,113,061]
ygeW	+	[TU0-13773 3,006,262 &rarr; 3,007,452]
yjgH	-	[TU0-14170 4,472,814 &larr; 4,473,209]
gluQ // dksA	-	[dksA-yadB 159,186 &larr; 160,604]
bglG	-	[bglG 3,905,731 &larr; 3,906,567]
ybcQ	+	[TU0-12976 573,956 &rarr; 574,339]
pta // ackA	+	[ackA-pta 2,413,470 &rarr; 2,416,891]
ydhX // ydhU // ydhT	-	[TU0-13363 1,748,747 &larr; 1,751,013]
hokA	-	[hokA 3,720,448 &larr; 3,720,600]
otsA // otsB	-	[otsBA 1,980,188 &larr; 1,982,387]
kduI	-	[TU0-13756 2,983,288 &larr; 2,984,124]
yjfC // yjfM // yjfL // yjfK	+	[yjfKLMC 4,411,302 &rarr; 4,414,191]
kup	+	[kup 3,931,316 &rarr; 3,933,184]
patD // ydcV // ydcU // ydcT // ydcS	+	[ydcSTUV-patD 1,511,654 &rarr; 1,517,002]
ybbD // ylbH // ybbC // rhsD	+	[TU0-12960 523,261 &rarr; 529,130]
metE	+	[metE 4,013,053 &rarr; 4,015,314]
tus	+	[TU0-13346 1,684,259 &rarr; 1,685,188]
eco	+	[eco 2,303,905 &rarr; 2,304,393]
queF	+	[queF 2,925,348 &rarr; 2,926,196]
minE // minD // minC	-	[minCDE 1,224,279 &larr; 1,226,080]
yjdF	-	[TU0-14136 4,344,929 &larr; 4,345,558]
trpS // gph // rpe // dam // damX	-	[damX-dam-rpe-gph-trpS 3,512,634 &larr; 3,517,306]
cysK	+	[cysK 2,532,409 &rarr; 2,533,380]
gntK	-	[gntK 3,577,065 &larr; 3,577,592]
pdeB	-	[TU0-12940 477,067 &larr; 478,617]
aspS	-	[aspS 1,948,750 &larr; 1,950,522]
ydfC // ydfB // ydfA	+	[ydfABC 1,648,508 &rarr; 1,649,041]
ampH	-	[ampH 395,130 &larr; 396,287]
ygbK // ygbJ	+	[TU0-13721 2,861,430 &rarr; 2,863,501]
glmS // glmU	-	[glmUS 3,911,839 &larr; 3,915,200]
dnaB	+	[dnaB 4,264,314 &rarr; 4,265,729]
acnB	+	[acnB 131,615 &rarr; 134,212]
clsC	+	[clsC 1,106,355 &rarr; 1,107,776]
esrE	+	[esrE 4,019,978 &rarr; 4,020,229]
yajI	-	[TU0-12920 432,312 &larr; 432,851]
ybjG	-	[ybjG 882,792 &larr; 883,388]
ydfZ	+	[TU0-13312 1,629,215 &rarr; 1,629,418]
yghT	+	[yghT 3,134,131 &rarr; 3,134,823]
ypjB	-	[ypjB 2,783,638 &larr; 2,784,429]
htrE // yadV	-	[yadV-htrE 152,829 &larr; 156,201]
birA // murB	+	[TU0-14099 4,172,057 &rarr; 4,174,047]
grxA	-	[grxA 890,496 &larr; 890,753]
leuU // secG	-	[secG-leuU 3,322,072 &larr; 3,322,505]
sdiA	-	[sdiA 1,996,110 &larr; 1,996,832]
yaiO	-	[TU0-12903 380,069 &larr; 380,842]
fhuF	-	[fhuF 4,604,875 &larr; 4,605,663]
yfeH	+	[yfeH 2,526,946 &rarr; 2,527,944]
ratA // yfjF	-	[TU0-13685 2,754,008 &larr; 2,754,764]
caiE // caiD // caiC // caiB // caiA // caiT	-	[caiTABCDE 34,781 &larr; 41,931]
frvA // frvB // frvX // frvR	-	[TU0-14075 4,088,107 &larr; 4,092,823]
dcuA	-	[dcuA 4,365,472 &larr; 4,366,773]
hflC // hflK // hflX // hfq	+	[hfq-hflXKC 4,400,288 &rarr; 4,404,304]
yjhC // yjhB	+	[TU0-42416 4,504,058 &rarr; 4,506,405]
rclC // rclB // rclA	-	[rclABC 317,726 &larr; 320,001]
ves	-	[ves 1,824,362 &larr; 1,824,937]
ydcC	+	[TU0-13279 1,531,816 &rarr; 1,532,952]
yedD	-	[yedD 2,007,677 &larr; 2,008,090]
glmY	-	[glmY 2,691,157 &larr; 2,691,340]
accB // accC	+	[accBC 3,405,436 &rarr; 3,407,266]
yihF	+	[TU0-14058 4,044,199 &rarr; 4,045,629]
adhE	-	[adhE 1,295,446 &larr; 1,298,121]
waaU // waaZ	-	[rfaZ-waaU 3,798,239 &larr; 3,800,196]
sroD // fadD	-	[fadD-sroD 1,888,017 &larr; 1,889,746]
xynR	-	[TU0-12869 288,404 &larr; 289,162]
rirA // waaU // waaZ // waaY // waaJ // waaO // waaB // waaS // waaP // waaG // waaQ	-	[rirA-rfaQGPSBIJYZ-waaU 3,798,239 &larr; 3,808,238]
yncK	-	[TU0-13263 1,503,218 &larr; 1,503,649]
ydcO	-	[ydcO 1,504,905 &larr; 1,506,080]
yfgJ	-	[TU0-13649 2,635,599 &larr; 2,635,814]
araD // araA // araB	-	[araBAD 65,855 &larr; 70,048]
yigB // xerC // yigA // dapF // yifL	+	[yifL-dapF-yigA-xerC-yigB 3,994,522 &rarr; 3,997,899]
hupB	+	[hupB 461,451 &rarr; 461,723]
aceK	+	[aceK 4,218,596 &rarr; 4,220,332]
mpaA	-	[TU0-41740 1,389,870 &larr; 1,390,598]
yafP // yafO // yafN // dinB	+	[dinB-yafNOP 250,898 &rarr; 253,161]
tktB // talA	+	[talA-tktB 2,578,666 &rarr; 2,581,639]
bhsA	+	[ycfR 1,169,073 &rarr; 1,169,330]
yffR // yffQ	+	[TU0-13632 2,563,592 &rarr; 2,564,372]
adhE	-	[adhE 1,295,446 &larr; 1,298,121]
yieH	+	[TU0-14025 3,896,774 &rarr; 3,897,439]
glpR	-	[glpR 3,559,848 &larr; 3,560,605]
rnlA	+	[rnlA 2,765,918 &rarr; 2,766,991]
gabP // gabT // gabD // lhgD // glaH	+	[csiD-ygaF-gabDTP 2,788,985 &rarr; 2,795,653]
rcsF // trmO	-	[TU0-12837 218,887 &larr; 219,995]
ruvB // ruvA	-	[ruvAB 1,944,346 &larr; 1,945,976]
rzpR // ydaW // ydaV // ydaU // ydaT // ydaS	+	[TU0-13231 1,420,365 &rarr; 1,423,644]
zupT	+	[zupT 3,182,550 &rarr; 3,183,323]
fryB // fryC // ypdF // ypdE // fryA	-	[TU0-13614 2,501,990 &larr; 2,508,242]
gltB // gltD // gltF	+	[gltBDF 3,354,725 &rarr; 3,361,940]
yicL	+	[TU0-14009 3,838,248 &rarr; 3,839,171]
arcA	-	[arcA 4,639,590 &larr; 4,640,306]
rpoD	+	[rpoD 3,213,047 &rarr; 3,214,888]
patD // ydcV // ydcU // ydcT // ydcS	+	[ydcSTUV-patD 1,511,654 &rarr; 1,517,002]
hrpB	+	[TU0-12819 162,105 &rarr; 164,534]
lplA // ytjB	-	[ytjB-lplA 4,623,101 &larr; 4,624,789]
ycjF // ycjX	+	[TU0-13214 1,384,117 &rarr; 1,386,572]
yohD	+	[yohD 2,225,801 &rarr; 2,226,379]
yfdF	+	[TU0-13598 2,463,012 &rarr; 2,464,070]
entC // entE // entB // entA // entH	+	[entCEBA-ybdB 624,885 &rarr; 629,713]
trmL	+	[TU0-13994 3,781,215 &rarr; 3,781,688]
mukB // mukE // mukF // cmoM	+	[smtA-mukFEB 973,537 &rarr; 980,786]
ryjB	+	[ryjB 4,527,977 &rarr; 4,528,066]
glgP // glgA	-	[glgAP 3,564,134 &larr; 3,568,033]
yabQ // yabP	+	[TU0-12802 58,474 &rarr; 59,279]
pepD	-	[pepD 254,259 &larr; 255,716]
yciQ // yciO // yciV	+	[yciVOQ 1,323,220 &rarr; 1,326,641]
rimO	-	[rimO 876,710 &larr; 878,035]
yfbS	-	[TU0-13581 2,409,520 &larr; 2,411,352]
exuT	+	[exuT 3,245,224 &rarr; 3,246,522]
yiaC // tag	+	[TU0-13978 3,713,092 &rarr; 3,714,092]
putP	+	[putP 1,079,305 &rarr; 1,080,813]
ypfN // dapE	+	[dapE-ypfN 2,591,607 &rarr; 2,592,962]
asnW	-	[asnW 2,058,027 &larr; 2,058,102]
yjjY	+	[TU0-12785 4,640,402 &rarr; 4,640,542]
hemN	+	[hemN 4,052,045 &rarr; 4,053,418]
cvrA	-	[TU0-13174 1,240,335 &larr; 1,242,071]
yjgA	-	[yjgA 4,457,314 &larr; 4,457,865]
yfaV // yfaU	-	[TU0-13565 2,358,042 &larr; 2,360,152]
srlA // srlE // srlB // srlD // gutM // srlR // gutQ	+	[srlAEBD-gutM-srlR-gutQ 2,825,832 &rarr; 2,830,778]
rlmJ	+	[rlmJ 3,645,385 &rarr; 3,646,227]
glyU	-	[glyU 2,998,984 &larr; 2,999,057]
hokD // relE // relB	-	[relBE-hokD 1,645,119 &larr; 1,645,872]
rrfB // rrlB // gltT // rrsB	+	[rrsB-gltT-rrlB-rrfB 4,166,659 &rarr; 4,171,756]
rrfE // rrlE // gltV // rrsE	+	[rrsE-gltV-rrlE-rrfE 4,208,147 &rarr; 4,213,159]
rimL	+	[rimL 1,498,938 &rarr; 1,499,477]
bluR	-	[bluR 1,213,328 &larr; 1,214,059]
yidR	-	[yidR 3,868,062 &larr; 3,869,309]
lpxT // yeiR	+	[TU0-13549 2,267,829 &rarr; 2,269,567]
bioB // bioF // bioC // bioD	+	[bioBFCD 809,344 &rarr; 812,947]
yhhL // rsmD	+	[TU0-13942 3,604,393 &rarr; 3,605,248]
argW	+	[argW 2,466,309 &rarr; 2,466,383]
insH7	-	[insH-7 2,101,895 &larr; 2,102,875]
trxA	+	[trxA 3,965,761 &rarr; 3,966,090]
cpxQ // cpxP	+	[cpxPQ 4,105,820 &rarr; 4,106,387]
gcvB	+	[gcvB 2,942,696 &rarr; 2,942,900]
lolE // lolD // lolC	+	[TU0-13141 1,175,427 &rarr; 1,178,564]
yhhA	+	[yhhA 3,586,943 &rarr; 3,587,383]
yohC	-	[TU0-13530 2,225,044 &larr; 2,225,631]
cydA // cydB	+	[cydAB 771,458 &rarr; 774,181]
yhfX // yhfW // php // yhfU // yhfT // yhfS	-	[TU0-13924 3,504,935 &larr; 3,510,976]
pyrL // pyrI // pyrB	-	[pyrLBI 4,470,986 &larr; 4,472,533]
yraN	+	[yraN 3,295,394 &rarr; 3,295,789]
exbD	-	[exbD 3,150,818 &larr; 3,151,243]
lhr	+	[lhr 1,729,087 &rarr; 1,733,703]
gadY	+	[gadY 3,664,864 &rarr; 3,664,968]
yceK	+	[TU0-13124 1,113,579 &rarr; 1,113,806]
ybhA	-	[ybhA 797,613 &larr; 798,431]
rcnB // rcnA	+	[rcnAB 2,185,917 &rarr; 2,187,298]
rpoH	-	[rpoH 3,599,929 &larr; 3,600,783]
yhdJ	+	[TU0-13905 3,411,653 &rarr; 3,412,537]
fumB // dcuB	-	[dcuB-fumB 4,345,680 &larr; 4,348,744]
yjaH	+	[yjaH 4,200,566 &rarr; 4,201,261]
metQ // metI // metN	-	[metNIQ 220,113 &larr; 222,645]
rapZ // ptsN // hpf // rpoN // lptB	+	[lptB-rpoN-hpf-ptsN-yhbJ 3,343,944 &rarr; 3,347,969]
argG	+	[argG 3,318,637 &rarr; 3,319,980]
gfcA	-	[gfcA 1,049,439 &larr; 1,049,744]
yahN	-	[yahN 345,666 &larr; 346,337]
tyrR	+	[tyrR 1,386,720 &rarr; 1,388,261]
mlaF // mlaE // mlaD // mlaC // mlaB	-	[mlaFEDCB 3,336,963 &larr; 3,340,065]
tsx	-	[tsx 431,129 &larr; 432,013]
yfaE	+	[yfaE 2,348,514 &rarr; 2,348,768]
iscA // iscU // iscS // iscR	-	[iscRSUA 2,659,563 &larr; 2,662,131]
ulaF // ulaE // ulaD // ulaC // ulaB // ulaA	+	[ulaABCDEF 4,419,980 &rarr; 4,424,386]
gloC // mepK	+	[mepK-gloC 983,075 &rarr; 984,297]
tqsA	+	[tqsA 1,673,913 &rarr; 1,674,947]
insC3 // insD3 // insCD3	-	[TU0-13480 2,068,952 &larr; 2,070,180]
phoA // psiF	+	[phoA-psiF 401,747 &rarr; 403,601]
yraH	+	[TU0-13873 3,287,426 &rarr; 3,288,010]
uspA	+	[uspA 3,640,111 &rarr; 3,640,545]
yjbH // yjbG // yjbF // yjbE	+	[yjbEFGH 4,235,906 &rarr; 4,239,730]
sodB	+	[sodB 1,735,378 &rarr; 1,735,959]
gntT	+	[gntT 3,546,559 &rarr; 3,547,875]
poxB // ltaE // ybjT	-	[TU0-13075 906,852 &larr; 911,049]
sraA	-	[sraA 458,728 &larr; 458,784]
yedI	-	[TU0-13462 2,028,449 &larr; 2,029,366]
lacA // lacY // lacZ	-	[lacZYA 361,249 &larr; 366,305]
ygjP	+	[TU0-13856 3,235,960 &rarr; 3,236,463]
gltA	-	[gltA 753,185 &larr; 754,468]
aroH	+	[aroH 1,788,435 &rarr; 1,789,481]
eno	-	[eno 2,906,643 &larr; 2,907,941]
csrB	-	[csrB 2,924,156 &larr; 2,924,524]
ybiR // mntR	+	[mntR-ybiR 853,183 &rarr; 854,765]
rdlB	+	[rdlB 1,269,858 &rarr; 1,269,923]
yecT	+	[yecT 1,961,972 &rarr; 1,962,460]
fhuA // fhuC // fhuD // fhuB	+	[fhuACDB 167,484 &rarr; 173,444]
ygiC // ygiB // tolC	+	[tolC-ygiBC 3,178,115 &rarr; 3,181,581]
yjaZ	+	[yjaZ 4,189,786 &rarr; 4,190,325]
ypfM	-	[ypfM 2,590,807 &larr; 2,590,866]
mgrR	-	[mgrR 1,622,817 &larr; 1,622,914]
gntR	-	[gntR 3,577,731 &larr; 3,578,726]
ybhH	+	[TU0-13042 800,759 &rarr; 801,811]
erpA	+	[erpA 176,610 &rarr; 176,954]
yebV	+	[TU0-13429 1,921,780 &rarr; 1,922,016]
argC // argB // argH	+	[argCBH 4,155,001 &rarr; 4,158,223]
yghB	+	[yghB 3,153,563 &rarr; 3,154,222]
pflB	-	[pflB 951,272 &larr; 953,554]
yjjW	-	[TU0-14220 4,614,680 &larr; 4,615,543]
ykgR	-	[ykgR 313,141 &larr; 313,242]
iclR	-	[iclR 4,222,804 &larr; 4,223,628]
lpp	+	[lpp 1,757,421 &rarr; 1,757,657]
lptD	-	[imp 54,755 &larr; 57,109]
cobT // cobS // cobU	-	[cobUST 2,063,388 &larr; 2,065,764]
ybfB // rhsC	+	[TU0-13026 729,583 &rarr; 734,102]
dmlA	+	[TU0-13410 1,881,912 &rarr; 1,882,997]
pdxY // tyrS	-	[tyrS-pdxY 1,715,026 &larr; 1,717,222]
pcm // umpG	-	[umpG-pcm 2,868,893 &larr; 2,870,274]
yjiK	-	[TU0-14201 4,562,743 &larr; 4,563,603]
yjeV	+	[yjeV 4,392,892 &rarr; 4,392,945]
fabI	-	[fabI 1,350,251 &larr; 1,351,039]
macB	+	[macB 920,347 &rarr; 922,293]
dacA	-	[TU0-13008 662,752 &larr; 663,963]
ydjF	-	[TU0-13393 1,854,096 &larr; 1,854,854]
mcaS	-	[mcaS 1,405,659 &larr; 1,405,751]
rpsF // priB // rpsR // rplI	+	[rpsF-priB-rpsR-rplI 4,425,118 &rarr; 4,426,557]
idi	+	[TU0-13786 3,033,065 &rarr; 3,033,613]
yjhC // yjhB	+	[yjhBC 4,504,058 &rarr; 4,506,405]
mdfA	+	[cmr 883,673 &rarr; 884,905]
galT // galE	-	[galET 789,983 &larr; 792,055]
zinT	+	[zinT 2,041,375 &rarr; 2,042,025]
